"dataset_generation_date","ceg_core_id","ceg_code","generation_type","fuel_source","plant_name","plant_state","system_description","unit_number","authorized_power_kw","test_released_power_kw","commercial_released_power_kw","energy_market","test_operation_start_granted_date","test_operation_release_date","test_dispatch_number","commercial_operation_start_granted_date","commercial_operation_release_date","commercial_dispatch_number","commercial_operation_release_year","is_northeast"
"2026-03-20","31402","EOL.CV.BA.031402-1.1","EOL","E�lica","Abil","BA","Sistema Interligado Nacional","1","2700","2700","2700","ACR","2015-08-01","2021-12-11","39782021","2015-09-01","2022-02-10","4112022","2022","True"
"2026-03-20","31402","EOL.CV.BA.031402-1.1","EOL","E�lica","Abil","BA","Sistema Interligado Nacional","2","3000","3000","3000","ACR","2015-08-01","2021-12-11","39782021","2015-09-01","2022-02-10","4112022","2022","True"
"2026-03-20","31402","EOL.CV.BA.031402-1.1","EOL","E�lica","Abil","BA","Sistema Interligado Nacional","3","3000","3000","3000","ACR","2015-08-01","2021-12-11","39782021","2015-09-01","2022-02-10","4112022","2022","True"
"2026-03-20","31402","EOL.CV.BA.031402-1.1","EOL","E�lica","Abil","BA","Sistema Interligado Nacional","4","3000","3000","3000","ACR","2015-08-01","2021-12-11","39782021","2015-09-01","2022-02-10","4112022","2022","True"
"2026-03-20","31402","EOL.CV.BA.031402-1.1","EOL","E�lica","Abil","BA","Sistema Interligado Nacional","5","3000","3000","3000","ACR","2015-08-01","2021-12-11","39782021","2015-09-01","2022-02-10","4112022","2022","True"
"2026-03-20","31402","EOL.CV.BA.031402-1.1","EOL","E�lica","Abil","BA","Sistema Interligado Nacional","6","3000","3000","3000","ACR","2015-08-01","2021-12-11","39782021","2015-09-01","2022-02-10","4112022","2022","True"
"2026-03-20","31402","EOL.CV.BA.031402-1.1","EOL","E�lica","Abil","BA","Sistema Interligado Nacional","7","3000","3000","3000","ACR","2015-08-01","2021-12-11","39782021","2015-09-01","2022-02-10","4112022","2022","True"
"2026-03-20","31402","EOL.CV.BA.031402-1.1","EOL","E�lica","Abil","BA","Sistema Interligado Nacional","8","3000","3000","3000","ACR","2015-08-01","2021-12-11","39782021","2015-09-01","2022-02-10","4112022","2022","True"
"2026-03-20","31433","EOL.CV.BA.031433-1.1","EOL","E�lica","Acau�","BA","Sistema Interligado Nacional","1 a 3","6","6000","6000","ACR","2015-06-07","2019-06-18","","2015-08-01","2019-11-13","","2019","True"
"2026-03-20","31418","EOL.CV.BA.031418-8.1","EOL","E�lica","Ac�cia","BA","Sistema Interligado Nacional","1","2700","2700","2700","ACR","2015-08-01","2022-03-17","7072022","2015-09-01","2022-05-18","13332022","2022","True"
"2026-03-20","31418","EOL.CV.BA.031418-8.1","EOL","E�lica","Ac�cia","BA","Sistema Interligado Nacional","2","2700","2700","2700","ACR","2015-08-01","2022-03-17","7072022","2015-09-01","2022-05-18","13332022","2022","True"
"2026-03-20","31418","EOL.CV.BA.031418-8.1","EOL","E�lica","Ac�cia","BA","Sistema Interligado Nacional","3","2700","2700","2700","ACR","2015-08-01","2022-04-12","9692022","2015-09-01","2022-05-18","13332022","2022","True"
"2026-03-20","31418","EOL.CV.BA.031418-8.1","EOL","E�lica","Ac�cia","BA","Sistema Interligado Nacional","4","2700","2700","2700","ACR","2015-08-01","2022-03-17","7072022","2015-09-01","2022-05-18","13332022","2022","True"
"2026-03-20","31418","EOL.CV.BA.031418-8.1","EOL","E�lica","Ac�cia","BA","Sistema Interligado Nacional","5","2700","2700","2700","ACR","2015-08-01","2022-03-17","7072022","2015-09-01","2022-05-18","13332022","2022","True"
"2026-03-20","31418","EOL.CV.BA.031418-8.1","EOL","E�lica","Ac�cia","BA","Sistema Interligado Nacional","6","2700","2700","2700","ACR","2015-08-01","2022-03-17","7072022","2015-09-01","2022-05-18","13332022","2022","True"
"2026-03-20","30320","EOL.CV.BA.030320-8.1","EOL","E�lica","Alvorada","BA","Sistema Interligado Nacional","1 a 5","8","8000","8000","ACR","2012-06-01","2014-06-10","","2012-07-01","2014-07-04","","2014","True"
"2026-03-20","32090","EOL.CV.BA.032090-0.1","EOL","E�lica","Amescla","BA","Sistema Interligado Nacional","1","2700","2700","2700","Fora do ACR","2015-08-02","2022-10-07","28902022","2015-09-01","2022-11-01","31402022","2022","True"
"2026-03-20","32090","EOL.CV.BA.032090-0.1","EOL","E�lica","Amescla","BA","Sistema Interligado Nacional","2","2700","2700","2700","Fora do ACR","2015-08-02","2022-10-07","28902022","2015-09-01","2022-11-01","31402022","2022","True"
"2026-03-20","32090","EOL.CV.BA.032090-0.1","EOL","E�lica","Amescla","BA","Sistema Interligado Nacional","3","2700","2700","2700","Fora do ACR","2015-08-02","2022-10-07","28902022","2015-09-01","2022-11-01","31402022","2022","True"
"2026-03-20","32090","EOL.CV.BA.032090-0.1","EOL","E�lica","Amescla","BA","Sistema Interligado Nacional","4","2700","2700","2700","Fora do ACR","2015-08-02","2022-10-07","28902022","2015-09-01","2022-11-01","31402022","2022","True"
"2026-03-20","32090","EOL.CV.BA.032090-0.1","EOL","E�lica","Amescla","BA","Sistema Interligado Nacional","5","2700","2700","2700","Fora do ACR","2015-08-02","2022-10-07","28902022","2015-09-01","2022-11-01","31402022","2022","True"
"2026-03-20","30779","EOL.CV.BA.030779-3.1","EOL","E�lica","Ametista","BA","Sistema Interligado Nacional","1 a 17","28,56","28560","28560","ACR","2015-05-15","2015-01-06","","2015-06-15","2015-03-04","","2015","True"
"2026-03-20","32091","EOL.CV.BA.032091-9.1","EOL","E�lica","Angelim","BA","Sistema Interligado Nacional","1","2700","2700","2700","Fora do ACR","2015-08-02","2022-06-16","16062022","2015-09-01","2022-08-05","21172022","2022","True"
